 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
16.29213483146068, 0, 0.3406602, 0, 0, 9.373359, 0, 0.3702914, 0, 0.2419528, 0.2231815, 0.6139773, 24.37878, 1.754812, 0, 32.93736, 0.3630095, 0.6211272, 0, 0.5127392, 1.409175, 0.7793052, 8.774316, 0.3975968, 0, 0.4334631, 1.409196, 2.026108, 1.52893, 1.114149, 0.7676524, 0, 0.7302177, 1.012797
16.85393258426966, 0, 0.6264687, 0, 0, 10.65607, 0, 0.3174593, 0, 0.226348, 0.2096463, 0.55766, 22.51983, 1.569221, 0, 33.46228, 0.3469664, 0.5877975, 0, 0.4765818, 1.316489, 0.7454323, 8.192232, 0.3723706, 0, 0.4138465, 1.295064, 1.932241, 1.52447, 1.046109, 0.727452, 0, 0.6456836, 0.9098318
17.41573033707865, 0, 0.5957894, 0, 0, 10.07446, 0, 0.2721651, 0, 0.2117496, 0.1969319, 1.329906, 20.80264, 1.403257, 0, 31.99695, 0.3316324, 0.5562562, 0, 0.4429742, 1.229899, 0.7130317, 7.648764, 0.3487449, 0, 0.3951177, 1.190176, 1.842723, 2.363491, 1.322579, 0.6893569, 0, 2.681169, 0.817334
17.97752808988764, 0, 2.318924, 0, 0, 11.48855, 0, 0.2333333, 0, 0.1980928, 0.1849887, 1.20792, 19.21638, 1.254847, 0, 30.59579, 0.316976, 0.5264074, 0, 0.4117365, 1.149005, 1.329762, 7.141348, 0.3266181, 0, 0.3772364, 1.621912, 1.757352, 2.260306, 1.747128, 0.6532567, 0, 3.692899, 0.73424
18.53932584269663, 0, 3.260117, 0, 0, 10.86151, 0, 0.200042, 0, 0.1853168, 0.1737697, 1.097123, 17.75108, 1.122132, 0, 29.25599, 0.3029674, 0.4981603, 0, 0.3827016, 1.073431, 1.271963, 6.667595, 0.3058953, 0, 0.3601643, 1.490553, 1.675937, 2.161626, 1.640433, 0.6190469, 0, 7.892461, 0.6595938
19.10112359550562, 0, 3.100464, 0, 0, 12.92786, 0, 0.1715006, 0, 0.1733648, 0.1632311, 0.9964893, 16.39751, 1.003454, 0, 30.23812, 0.2895778, 0.471429, 0, 0.3557142, 1.002828, 1.216676, 10.50638, 0.2864872, 0, 0.3438649, 1.369832, 1.598293, 2.067255, 1.567632, 0.5866286, 0, 8.198927, 0.5925364
19.66292134831461, 0, 2.948629, 0, 0, 12.25831, 0, 0.1470314, 2.980232e-08, 0.1621836, 0.1533317, 0.905086, 15.14715, 0.8973268, 0, 29.58673, 0.3547, 0.4461321, 0, 0.3306299, 0.9368685, 1.163793, 9.893033, 0.2683105, 0, 0.3283031, 1.258889, 1.524246, 1.977003, 1.471899, 0.5559081, 0, 8.938319, 0.5322964
20.2247191011236, 0, 3.32526, 0, 0, 11.58926, 0, 0.1260534, 2.980232e-08, 0.1517235, 0.1440327, 0.8220667, 13.99214, 0.8024241, 0, 28.29111, 0.3390242, 0.4221925, 0, 0.3073145, 0.8752477, 1.113208, 9.236734, 0.2512871, 0, 0.3134456, 1.156931, 1.45363, 1.890692, 1.382012, 0.5267963, 0, 7.903569, 0.4781806
20.78651685393259, 0, 3.162416, 0, 0, 10.95672, 0, 0.1080684, 2.980232e-08, 0.1419381, 0.1352976, 0.7466624, 12.9252, 0.7175584, 0, 28.63384, 0.3240412, 0.3995376, 0, 0.2856433, 0.8176799, 1.064822, 8.623975, 0.2353437, 0, 0.2992604, 1.063231, 1.386285, 1.808148, 1.297614, 0.4992091, 0, 11.45757, 1.298605
21.34831460674157, 0, 4.427664, 0, 0, 12.01749, 0, 0.09264955, 0, 0.1327838, 0.1270922, 0.6781745, 11.93962, 0.6416683, 0, 27.37995, 0.5026615, 0.3780984, 0, 0.2655002, 0.7638984, 1.018539, 8.051865, 0.2204119, 0, 0.2857172, 0.977119, 1.322061, 1.729209, 2.062432, 0.4730665, 0, 10.13117, 1.166583
